UNIQUE_ID,yes_hp_en,yes_ret_yhp_en,yes_pg_yhp_en
244998507,0.6490738,0.588224188,0.382607534
245129701,0.286588745,0.559349753,0.728651251
245138623,0.39671672,0.444331888,0.450060977
245148034,0.261563052,0.673815341,0.389186449
245191361,0.204226558,0.528725801,0.568562696
245041873,0.217508953,0.715577873,0.407826946
245037572,0.268343849,0.5314018,0.160027607
245192538,0.272332821,0.666369416,0.389880533
245196511,0.199125818,0.586349751,0.614692738
245114029,0.367579642,0.641035585,0.060717701
245066361,0.308707463,0.468226261,0.123760233
245103081,0.185551939,0.351745244,0.916366061
230227224,0.318519368,0.724183121,0.168237968
245091237,0.470443157,0.535139364,0.217230311
245138905,0.241315541,0.599290321,0.358463472
245056803,0.381948739,0.756499371,0.210471244
245166831,0.445742902,0.412753321,0.289241019
244941167,0.319735267,0.748098199,0.121819571
245145364,0.473423706,0.697088425,0.095557757
245148127,0.13397168,0.662623054,0.214547237
245065352,0.442004311,0.553857018,0.645301409
245108296,0.696328831,0.604339051,0.323800828
245169353,0.513547289,0.480954282,0.204511094
244978197,0.505531718,0.619058455,0.432193419
245052719,0.419750118,0.397926687,0.366431112
245136615,0.257916102,0.52617777,0.286355722
245141886,0.674632007,0.622681135,0.106922545
245180844,0.613773064,0.687737237,0.179892433
245160712,0.487126075,0.703019709,0.260126212
245095586,0.258674647,0.484740786,0.388003082
245160877,0.375193233,0.645443306,0.203615609
245085896,0.374124198,0.676949262,0.449589405
245107031,0.598381657,0.635045286,0.224982569
245057343,0.327480234,0.659067242,0.798568126
245016701,0.42402772,0.70913989,0.179310529
245095792,0.065322717,0.527649656,0.51008032
245152559,0.563065178,0.591103451,0.477574659
244526964,0.165206632,0.525745708,0.533908656
240196414,0.45861683,0.486637313,0.200741988
245139007,0.304104767,0.34833449,0.694325774
245229840,0.298649692,0.488809265,0.200388269
245200919,0.688665687,0.578482651,0.31075695
245101070,0.413171732,0.45589504,0.422674515
245152470,0.340417953,0.612353036,0.405895787
245057628,0.214977205,0.643523592,0.493303505
245117833,0.341765342,0.38896352,0.617565807
242103265,0.754336281,0.691395684,0.129788886
245164693,0.720094886,0.37359932,0.389206728
245062130,0.507104604,0.6240757,0.57075211
245205253,0.451116682,0.457994683,0.342184859
242523806,0.299712486,0.65495427,0.450847171
124872074,0.46842918,0.563000541,0.135625937
244998564,0.504134811,0.440874244,0.080476744
244978710,0.371489876,0.639145871,0.242989857
245073859,0.292002843,0.6926851,0.129361347
245134651,0.67386995,0.458375355,0.167582893
245059784,0.339408308,0.487764489,0.643185938
244946013,0.604111167,0.609818687,0.633586913
245027537,0.490576729,0.574903366,0.46592977
245022830,0.368529963,0.475310385,0.686997535
244959740,0.173744062,0.427559325,0.402749894
237044587,0.410796763,0.342726912,0.524897726
244972510,0.369077097,0.678604768,0.400771426
245211002,0.286198255,0.660881709,0.136012612
245112633,0.208142007,0.616541603,0.629468834
244946212,0.501004318,0.625295668,0.360490824
244025090,0.254830277,0.631201694,0.570082326
245012057,0.45627426,0.638315671,0.479395771
126317614,0.215956973,0.503531458,0.114136835
245198046,4.73E-04,0.463941929,0.64409448
245107267,0.197082786,0.626768495,0.152743978
245175247,0.467811229,0.530973241,0.205673951
245179387,0.223741715,0.397207354,0.266260921
243455971,0.459102421,0.556130902,0.515443247
245065701,0.225516171,0.441514879,0.497545191
245221026,0.32478426,0.69867505,0.703840063
239726362,0.417106906,0.493353368,0.487432448
244973853,0.159765205,0.418568972,0.215329735
245027632,0.05881429,0.531812486,0.147751858
244946240,0.360409783,0.559813047,0.270973084
245195984,0.37880729,0.632509317,0.661530101
241536849,0.194648734,0.43451354,0.253332354
244961093,0.578208875,0.714936655,0.381422344
245030950,0.362238642,0.738939408,0.395565129
239549869,0.666907797,0.558334683,0.514613331
245146202,0.702005726,0.586958639,0.182541324
242442205,0.532114225,0.60641101,0.588152181
245186263,0.547398314,0.606717982,0.250528403
242222353,0.450468676,0.430188706,0.518425805
244526881,0.451389295,0.579211445,0.148041175
245133685,0.456067198,0.577788144,0.382830859
245195918,0.349300451,0.658365762,0.510687224
245203301,0.302041538,0.670476711,0.22194526
245032792,0.420184097,0.646403874,0.407808848
245093251,0.159894166,0.529971896,0.422086077
245165853,0.568410131,0.441372062,0.36810009
245034938,0.383492341,0.699962099,0.618354807
245084462,0.433166665,0.617269949,0.453547868
235434274,0.237164196,0.501459684,0.430726585
231207014,0.503120808,0.629209323,0.427049841
119744050,0.414963588,0.668552088,0.1552609
124819399,0.616085706,0.62606093,0.118868435
241516291,0.374210151,0.685822347,0.375740903
245160517,0.22452024,0.53927847,0.303694531
245175945,0.323442934,0.395707271,0.43297584
245048508,0.349538254,0.554654004,0.194834039
245135864,0.502378281,0.585128224,0.435058343
245247934,0.424785571,0.659614935,0.133407244
245146946,0.571857594,0.561558915,0.562020452
245080929,0.158941113,0.589853016,0.322093401
245160383,0.64727583,0.633746982,0.352954214
245100786,0.279461215,0.492265501,0.261782193
229796542,0.600829966,0.62676076,0.125992934
245225657,0.274490954,0.60280927,0.188679408
245119787,0.637496375,0.495140022,0.54193305
245162389,0.109119784,0.602278904,0.049679105
239440792,0.582762133,0.687771841,0.316620192
242930603,0.497080988,0.485695237,0.088256947
245091856,0.507194212,0.519940519,0.47025273
245138865,0.487609897,0.603592868,0.329741897
242358849,0.289133211,0.52162535,0.331343618
245023396,0.368687647,0.702757953,0.372035432
245264701,0.518879044,0.538317962,0.396046929
245101056,0.347266628,0.565089519,0.181835485
239615743,0.458480096,0.5444546,0.741305035
245127520,0.388697766,0.503864735,0.676049967
245151021,0.495121154,0.595785016,0.328306561
245002393,0.372848292,0.537495316,0.526151469
245042158,0.207321711,0.296312239,0.443152888
122796676,0.60555439,0.644459275,0.257092513
245123984,0.202981445,0.594132571,0.385700271
244971790,0.420423211,0.51821693,0.412922953
245120381,0.569933136,0.499557294,0.477999673
120283655,0.302663509,0.674775096,0.206867973
245196307,0.359294748,0.625355201,0.279735402
